site,lat,lon
SPO.IT0499A_5_nephelometry_beta_2015-01-01_00:00:00,46.61947,10.85906
SPO.IT0477A_5_BETA_2022-01-01_00:00:00,45.49556,9.19139
SPO.IT0507A_5_nephelometry_beta_2019-01-01_00:00:00,46.71492,11.65408
SPO.IT0508A_5_nephelometry_beta_2020-01-01_00:00:00,46.79735,11.94403
SPO.IT0594A_5_BETA_2022-01-01_00:00:00,45.54083,10.22361
SPO.IT0692A_5_BETA_2022-01-01_00:00:00,45.10167,8.90556
SPO.IT0709A_5_BETA_2022-01-01_00:00:00,45.14444,10.80333
SPO.IT0742A_5_BETA_2022-01-01_00:00:00,45.63944,10.38583
SPO.IT0776A_5_BETA_2022-01-01_00:00:00,45.84944,9.39583
SPO.IT0778A_5_BETA_2022-01-01_00:00:00,45.51833,9.59139
SPO.IT0794A_5_BETA_2018-01-01_00:00:00,38.183,15.3015
SPO.IT0842A_5_BETA_2022-12-01_01:00:00,45.27917,10.00722
SPO.IT0846A_5_BETA_2022-01-01_00:00:00,45.50472,10.31306
SPO.IT0983A_5_OPC-CMC_2020-01-01_00:00:00,45.73583,7.32417
SPO.IT0997A_5_BETA_2022-01-01_00:00:00,45.69569,9.66167
SPO.IT1034A_5_BETA_2022-01-01_00:00:00,45.66083,9.15694
SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,46.06293,11.1262
SPO.IT1090A_5_BETA_2001-10-02_00:00:00,45.62306,13.7875
SPO.IT1104A_5_BETA_2022-01-01_00:00:00,45.18556,9.14694
SPO.IT1168A_5_BETA_2014-03-09_00:00:00,45.97333,13.39333
SPO.IT1208A_5_BETA_2007-06-26_00:00:00,42.45194,14.1975
SPO.IT1264A_5_BETA_1999-04-01_00:00:00,42.46639,14.21306
SPO.IT1294A_5_BETA_2022-01-01_00:00:00,45.52583,8.73667
SPO.IT1334A_5_nephelometry_beta_2016-01-01_00:00:00,46.49547,11.33997
SPO.IT1420A_5_BETA_2016-01-01_00:00:00,42.14167,14.44111
SPO.IT1423A_5_BETA_1999-04-01_00:00:00,42.45639,14.23472
SPO.IT1449A_5_BETA_2018-01-01_00:00:00,38.17462,15.27144
SPO.IT1463A_5_BETA_2022-01-01_00:00:00,45.62058,9.61154
SPO.IT1646A_5_BETA_2022-01-01_00:00:00,45.08199,9.71389
SPO.IT1734A_5_BETA_2022-01-01_00:00:00,45.84083,9.34889
SPO.IT1856A_5_BETA_2007-01-01_00:00:00,42.36417,13.38306
SPO.IT1857A_5_BETA_2007-01-01_00:00:00,42.65722,13.70944
SPO.IT1859A_5_nephelometry_beta_2007-11-16_00:00:00,46.10434,11.11023
SPO.IT1868A_5_BETA_2022-01-01_00:00:00,45.16056,10.79556
SPO.IT1869A_5_BETA_2022-01-01_00:00:00,45.16444,10.78194
SPO.IT1876A_5_BETA_2022-01-01_00:00:00,45.68333,9.46667
SPO.IT1977A_5_BETA_2009-06-15_00:00:00,42.5175,14.14833
SPO.IT2115A_5_BETA_2013-10-04_00:00:00,45.85693,12.9259
SPO.IT2132A_5_BETA_2013-12-18_00:00:00,45.83643,13.50112
SPO.IT2133A_5_BETA_2013-12-21_00:00:00,45.79944,13.42333
SPO.IT2161A_5_BETA_2016-01-01_00:00:00,41.77944,14.10361
SPO.IT2166A_5_BETA_2017-01-01_00:00:00,42.34611,14.13778
SPO.IT2167A_5_BETA_2017-01-01_00:00:00,42.42139,14.27917
SPO.IT2284A_5_OPC-CMC_2019-01-01_00:00:00,45.7324,7.32189
SPO.IT2288A_5_BETA_2018-01-01_00:00:00,38.23147,15.24757
